id;rank;name;employees;previousrank;revenues;revenuechange;profits;profitschange;assets;marketvalue
252;251;Parker-Hannifin;"48,95";224;011 ;-10.6%;$806.8 ;-20.3%;012 ;021 
253;252;Stryker;33;287;011 ;13.9%;"$1,647.0 ";14.5%;020 ;049 
254;253;Estee Lauder;46;261;011 ;4.5%;"$1,114.6 ";2.4%;009 ;031 
255;254;Celgene;"7,132";305;011 ;21.3%;"$1,999.2 ";24.8%;028 ;097 
256;255;BlackRock;13;250;011 ;-2.2%;"$3,172.0 ";-5.2%;220 ;062 
257;256;Xcel Energy;"11,476";257;011 ;0.7%;"$1,123.4 ";14.1%;041 ;023 
258;257;CSX;"26,628";239;011 ;-6.3%;"$1,714.0 ";-12.9%;035 ;043 
259;258;Unum Group;"9,4";265;011 ;2.9%;$931.4 ;7.4%;062 ;011 
260;259;Jacobs Engineering Group;"49,35";235;011 ;-9.5%;$210.5 ;-30.5%;007 ;007 
261;260;Lennar;"8,335";301;011 ;15.6%;$911.8 ;13.6%;015 ;012 
262;261;Group 1 Automotive;"13,5";267;011 ;2.4%;$147.1 ;56.5%;004 ;002 
263;262;Leucadia National;13;242;011 ;-6.9%;$130.0 ;-54.2%;045 ;009 
264;263;Entergy;"13,513";247;011 ;-5.8%;-$583.6 ;-;046 ;014 
265;264;PayPal Holdings;"18,1";307;011 ;17.2%;"$1,401.0 ";14.1%;033 ;052 
266;265;Applied Materials;"16,15";295;011 ;12.1%;"$1,721.0 ";25.0%;015 ;042 
267;266;Voya Financial;"6,7";252;011 ;-4.9%;-$428.0 ;-204.8%;214 ;007 
268;267;MasterCard;"11,9";294;011 ;11.5%;"$4,059.0 ";6.6%;019 ;121 
269;268;Priceline Group;"18,5";308;011 ;16.5%;"$2,135.0 ";-16.3%;020 ;088 
270;269;Liberty Interactive;"21,08";284;011 ;6.6%;"$1,235.0 ";42.1%;020 ;009 
271;270;AutoZone;"66,78";280;011 ;4.4%;"$1,241.0 ";7.0%;009 ;021 
272;271;State Street Corp.;"33,783";264;011 ;-1.2%;"$2,143.0 ";8.2%;243 ;030 
273;272;DTE Energy;10;274;011 ;2.8%;$868.0 ;19.4%;032 ;018 
274;273;L-3 Communications;38;245;011 ;-8.3%;$710.0 ;-;012 ;013 
275;274;HollyFrontier;"2,676";214;011 ;-20.4%;-$260.5 ;-135.2%;009 ;005 
276;275;Praxair;"26,498";262;011 ;-2.2%;"$1,500.0 ";-3.0%;019 ;034 
277;276;Universal Health Services;"70,863";290;011 ;7.4%;$702.4 ;3.2%;010 ;012 
278;277;Discover Financial Services;"15,549";283;010 ;4.9%;"$2,393.0 ";4.2%;092 ;026 
279;278;Occidental Petroleum;11;225;010 ;-18.1%;-$574.0 ;-;043 ;048 
280;279;United States Steel;"29,8";244;010 ;-11.3%;-$440.0 ;-;009 ;006 
281;280;Sempra Energy;"16,575";279;010 ;-0.5%;"$1,370.0 ";1.6%;048 ;028 
282;281;Baxter International;48;286;010 ;2.0%;"$4,965.0 ";412.9%;016 ;028 
283;282;W.W. Grainger;25;285;010 ;1.6%;$605.9 ;-21.2%;006 ;014 
284;283;Autoliv;"65,9";310;010 ;9.9%;$567.1 ;24.1%;008 ;009 
285;284;Norfolk Southern;"27,856";270;010 ;-5.9%;"$1,668.0 ";7.2%;035 ;033 
286;285;Baker Hughes;33;178;010 ;-37.5%;"-$2,738.0 ";-;019 ;025 
287;286;Ally Financial;"7,6";298;010 ;3.1%;"$1,067.0 ";-17.2%;164 ;009 
288;287;Sonic Automotive;"9,8";297;010 ;1.1%;$93.2 ;8.0%;004 ;900 
